returnId,sku,qty,reason,timestamp,expiryDate
RET00001,SKU0001,10,damaged,2025-09-10T14:00:00,
RET00002,SKU0003,5,expired,2025-09-15T09:30:00,2025-08-01
RET00003,SKU0010,8,customer-remorse,2025-09-05T16:45:00,2025-11-30
BAD00004,SKU0004,12,damaged,2025-09-12T12:00:00,
RET00005,SKUABC,5,expired,2025-09-14T10:00:00,2025-10-20
RET00006,SKU0006,-3,cycle-count,2025-09-09T11:00:00,
RET00007,SKU0007,8,broken,2025-09-13T13:00:00,
RET00008,,6,damaged,2025-09-16T08:00:00,
RET00009,SKU0009,10,expired,,2025-10-15
RET00010,SKU9999,4,customer-remorse,2025-09-11T18:00:00,
