wagonId,boxId,sku,qty,expiryDate,receivedAt
WGN001,BOX00001,SKU0005,10,,2025-07-05T15:42:00
WGN01,BOX00002,SKU0008,26,2026-01-05,2025-07-21T22:02:00
WGN001,BOX00003,,52,2025-09-20,2025-09-17T21:57:00
WGN001,,SKU0022,19,2026-01-10,2025-09-06T12:45:00
WGN002,BOX00005,SKU9999,64,,2025-08-22T17:56:00
WGNABC,BOX00006,SKU0006,48,2026-05-16,2025-08-03T22:13:00
WGN002,BOX00007,SKU0001,-5,2025-10-17,2025-09-23T21:48:00
WGN002,BOX00008,SKU0018,34,2026-01-22,
,BOX00009,SKU0019,75,2026-02-04,2025-08-14T02:43:00
WGN003,BOX00010,SKU0005,74,,2025-08-06T00:19:00
WGN003,BOX00011,SKU0005,0,,2025-09-01T09:38:00
WGN003,BOX00012,SKU0012,12,2025-09-01,INVALID_TIMESTAMP
WGN004,BOX00013,SKU0013,13,2025-09-01,2025-08-01T12:00:00
WGN004,BOX00014,SKU0024,24,,2025-09-10T13:15:00
WGN005,BOX00015,SKU0010,45,2025-12-10,2025-08-02T09:00:00
